holeid,from,to,Avg depth,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE,length,Structure_grp,MOC_grp,Lithology_grp
MRCB21,579.5,580,579.75,9933.1647425,11208.3085775,-396.92875,15,20,0,0.52,0.5,1,5,2
MRCB21,580,580.5,580.25,9933.3300575,11208.5058225,-397.35725,8,20,2,0.33,0.5,1,5,2
MRCB21,580.5,581,580.75,9933.4953725,11208.7030675,-397.78575,8,20,2,0.31,0.5,1,5,2
MRCB21,581,581.5,581.25,9933.6606875,11208.9003125,-398.21425,8,20,2,0.25,0.5,1,5,2
MRCB21,581.5,582,581.75,9933.8260025,11209.0975575,-398.64275,8,20,2,0.16,0.5,1,5,2
MRCB21,582,582.5,582.25,9933.9913175,11209.2948025,-399.07125,8,20,2,0.28,0.5,1,5,2
MRCB21,582.5,583,582.75,9934.1566325,11209.4920475,-399.49975,8,20,2,1.08,0.5,0,1,2
MRCB21,583,583.5,583.25,9934.3219475,11209.6892925,-399.92825,2,23,0,1.18,0.5,0,1,2
MRCB21,583.5,584,583.75,9934.4872625,11209.8865375,-400.35675,2,23,0,0.67,0.5,0,1,2
MRCB21,584,584.5,584.25,9934.6525775,11210.0837825,-400.78525,2,23,0,0.65,0.5,0,5,2
MRCB21,584.5,585,584.75,9934.8178925,11210.2810275,-401.21375,2,20,0,0.42,0.5,0,5,2
MRCB21,585,585.5,585.25,9934.9832075,11210.4782725,-401.64225,2,20,0,0.16,0.5,0,5,2
MRCB21,585.5,586,585.75,9935.1485225,11210.6755175,-402.07075,2,20,0,0.32,0.5,1,5,2
MRCB21,586,586.5,586.25,9935.3138375,11210.8727625,-402.49925,2,22,2,0.33,0.5,1,5,2
MRCB21,586.5,587,586.75,9935.4791525,11211.0700075,-402.92775,2,22,2,0.38,0.5,1,5,2
MRCB21,587,587.5,587.25,9935.6444675,11211.2672525,-403.35625,2,22,2,0.38,0.5,1,5,2
MRCB21,587.5,588,587.75,9935.8097825,11211.4644975,-403.78475,2,22,2,0.88,0.5,1,5,2
MRCB21,588,588.5,588.25,9935.9750975,11211.6617425,-404.21325,2,22,2,0.42,0.5,1,5,2
MRCB21,588.5,589,588.75,9936.1404125,11211.8589875,-404.64175,2,22,2,0.21,0.5,1,5,2
MRCB21,589,589.5,589.25,9936.3057275,11212.0562325,-405.07025,2,22,2,0.06,0.5,1,5,2
